Gene	Gene Length (bp)	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
CCNB2	19968		3	3	147	2.0%	No
CCND1	13332		3	3	176	1.7%	Yes
CCND3	115424		3	3	176	1.7%	Yes
CCNDBP1	12060		3	3	147	2.0%	No
CD14	1973		3	3	147	2.0%	No
CD300LD-AS1	41325		3	3	147	2.0%	No
CD38	74958		3	3	147	2.0%	No
CD58	56506		3	3	147	2.0%	Yes
CD68	2733		3	3	147	2.0%	No
CD7	4045		3	3	147	2.0%	No
CD74	11333		3	3	147	2.0%	Yes
CD8B	46596		3	3	147	2.0%	No
CD99	50325		3	3	147	2.0%	No
CDC7	26826		3	3	147	2.0%	No
CDK11A	22104		3	3	147	2.0%	No
CDK3	5356		3	3	147	2.0%	No
CDK4	8292		3	3	176	1.7%	Yes
CDKN2C	13890		3	3	176	1.7%	Yes
CEACAM19	22083		3	3	147	2.0%	No
CEBPA	2601		3	3	176	1.7%	Yes
CENPA	36779		3	3	147	2.0%	Yes
CENPU	40046		3	3	147	2.0%	No
CENPX	5518		3	3	147	2.0%	No
CFAP119	4799		3	3	147	2.0%	No
CFAP126	3153		3	3	147	2.0%	No
CFAP144	11244		3	2	147	1.4%	No
CFAP20	15842		3	3	147	2.0%	No
CFAP276	7907		3	3	147	2.0%	No
CFAP300	37120		3	3	147	2.0%	No
CFAP36	25522		3	3	147	2.0%	No
CFAP97D1	7186		3	3	147	2.0%	No
CFDP1	139806		3	2	147	1.4%	No
CGRRF1	29481		3	3	147	2.0%	No
CHCHD2	11939		3	3	147	2.0%	No
CHCHD6	256207		3	3	147	2.0%	No
CHIC2	69803		3	3	147	2.0%	Yes
CHLSN	141341		3	3	147	2.0%	No
CHMP4B	43022		3	3	147	2.0%	No
CHMP4C	27068		3	2	147	1.4%	No
CHP1	51065		3	3	147	2.0%	No
CIAO1	8015		3	3	147	2.0%	No
CIAO2A	22149		3	3	147	2.0%	No
CIAPIN1	19244		3	2	147	1.4%	No
CIB3	12158		3	3	147	2.0%	No
CIMAP1C	3648		3	3	147	2.0%	No
CIMIP2A	4187		3	3	147	2.0%	No
CIRBP	15497		3	3	147	2.0%	No
CITED1	8015		3	3	147	2.0%	No
CLCF1	10010		3	3	147	2.0%	No
CLDN15	6729		3	3	147	2.0%	No
CLDN2	30738		3	3	147	2.0%	No
CLDN22	2177		3	3	147	2.0%	No
CLDN23	2160		3	3	147	2.0%	No
CLDN4	33149		3	3	147	2.0%	No
CLDN8	2092		3	3	147	2.0%	No
CLEC1B	27783		3	3	147	2.0%	No
CLIC1	9978		3	2	147	1.4%	No
CLNS1A	122874		3	3	147	2.0%	No
CLP1	13678		3	3	176	1.7%	Yes
CLPP	8816		3	3	147	2.0%	No
CMTM6	28678		3	3	147	2.0%	No
CNIH2	7127		3	2	147	1.4%	No
CNOT7	22761		3	2	147	1.4%	No
CNTFR	42056		3	3	147	2.0%	No
COA6	11625		3	3	147	2.0%	No
COPRS	7421		3	3	147	2.0%	No
COPS3	34688		3	3	147	2.0%	No
COPS7B	27584		3	3	147	2.0%	No
CORO6	8168		3	3	147	2.0%	No
COX5B	2322		3	3	147	2.0%	No
COX7A2L	91543		3	3	147	2.0%	No
COX7B2	174419		3	3	147	2.0%	No
CRH	2089		3	2	147	1.4%	No
CRYBB3	7502		3	3	147	2.0%	No
CSNK1E	29354		3	3	147	2.0%	No
CST11	2808		3	3	147	2.0%	No
CST7	10660		3	3	147	2.0%	No
CSTB	4069		3	3	147	2.0%	No
CT55	14859		3	3	147	2.0%	No
CTRB2	3059		3	2	147	1.4%	No
CUEDC2	9477		3	3	147	2.0%	No
CUL4B	98155		3	2	147	1.4%	No
CXCL14	8601		3	2	147	1.4%	No
CXCR3	2596		3	3	147	2.0%	No
CXXC4	26594		3	3	147	2.0%	No
CYBC1	9918		3	3	147	2.0%	No
CYP1B1	42930		3	3	176	1.7%	No
CYP2D6	5275		3	3	176	1.7%	No
CYP2R1	14808		3	3	147	2.0%	No
CYSRT1	1142		3	3	147	2.0%	No
CZIB	6554		3	3	147	2.0%	No
DAZAP2	32639		3	3	147	2.0%	No
DCAF12	41016		3	3	147	2.0%	No
DCAKD	37794		3	3	147	2.0%	No
DCPS	45959		3	3	147	2.0%	No
DCTN3	6979		3	3	147	2.0%	No
DCUN1D1	47880		3	2	147	1.4%	Yes
DDX18	17707		3	3	147	2.0%	No
DDX19A	27132		3	3	147	2.0%	No
DEFA4	2487		3	3	147	2.0%	No
DEFB114	3916		3	3	147	2.0%	No
DEFB123	9626		3	3	147	2.0%	No
DEFB131A	6253		3	3	147	2.0%	No
DEGS1	17686		3	3	147	2.0%	No
DFFA	16028		3	3	147	2.0%	No
DGAT1	12327		3	3	147	2.0%	No
DHRS7C	20159		3	3	147	2.0%	No
DHRS9	31380		3	3	147	2.0%	No
DHRSX	283300		3	3	147	2.0%	No
DIP2C-AS1	19634		3	3	147	2.0%	No
DIRAS1	6873		3	3	147	2.0%	No
DIRAS3	5832		3	3	147	2.0%	No
DLX1	4938		3	3	147	2.0%	No
DNAAF2	10071		3	3	147	2.0%	No
DNAJB1	46603		3	3	147	2.0%	Yes
DNAJC14	10079		3	3	147	2.0%	No
DNAJC25	23018		3	3	147	2.0%	No
DNAJC28	5654		3	3	147	2.0%	No
DNAJC4	4129		3	3	147	2.0%	No
DNAJC9	63919		3	3	147	2.0%	No
DNASE1L1	10879		3	2	147	1.4%	No
DNTTIP2	13635		3	3	147	2.0%	No
DOC2B	38903		3	3	147	2.0%	No
DOLK	2074		3	3	147	2.0%	No
DONSON	29474		3	3	147	2.0%	No
DPH7	24482		3	3	147	2.0%	No
DPT	33750		3	3	147	2.0%	No
DRAM1	134817		3	3	147	2.0%	No
DRAM2	24342		3	3	147	2.0%	No
DRC8			3	3	147	2.0%	No
DRG2	20088		3	3	147	2.0%	No
DRICH1	23870		3	3	147	2.0%	No
DTD2	11471		3	3	147	2.0%	No
DTNBP1	140252		3	3	147	2.0%	No
DTX3L	10866		3	2	147	1.4%	No
DUOXA2	4097		3	2	147	1.4%	No
DUSP1	4207		3	3	147	2.0%	No
DUSP12	7481		3	3	147	2.0%	No
DUSP14	25121		3	3	147	2.0%	No
DUSP9	8926		3	3	147	2.0%	Yes
DUT	12363		3	3	147	2.0%	No
DYNLT2B	27092		3	3	147	2.0%	No
DYNLT5	27311		3	3	147	2.0%	No
ECI2	19913		3	3	147	2.0%	No
EDA2R	44915		3	3	147	2.0%	No
EDDM3A	2494		3	3	147	2.0%	No
EDF1	4198		3	3	147	2.0%	No
EEF1AKMT4-ECE2	43337		3	2	147	1.4%	No
EEF1D	19845		3	3	147	2.0%	No
EFHD2	20491		3	3	147	2.0%	No
EFNA2	15559		3	3	147	2.0%	No
EFNB1	13169		3	3	147	2.0%	No
EFNB2	45918		3	3	147	2.0%	No
EGLN1	58994		3	3	147	2.0%	No
EID2	1455		3	3	147	2.0%	No
EID2B	1866		3	3	147	2.0%	No
EIF1	3786		3	3	147	2.0%	No
EIF2B1	13361		3	3	147	2.0%	Yes
EIF3F	31612		3	3	147	2.0%	No
EIF4E	50390		3	3	147	2.0%	Yes
EIF4EBP2	24475		3	3	147	2.0%	No
EIF5	11482		3	3	147	2.0%	No
ELAVL2	136254		3	3	147	2.0%	No
ELF5	46403		3	3	147	2.0%	No
ELK1	18984		3	3	147	2.0%	No
ELK3	75858		3	3	147	2.0%	No
ELL3	4711		3	3	147	2.0%	No
EMC4	5149		3	3	147	2.0%	No
EMC8	27868		3	3	147	2.0%	No
ENDOU	15834		3	3	147	2.0%	No
ENHO	2132		3	3	147	2.0%	No
ENKUR	80301		3	3	147	2.0%	No
ENY2	11631		3	3	147	2.0%	No
EPN3	11203		3	3	147	2.0%	No
ERCC1	71535		3	3	147	2.0%	Yes
ERLIN1	35940		3	3	147	2.0%	No
ERP29	12454		3	3	147	2.0%	No
ERRFI1	21909		3	3	147	2.0%	Yes
ETFA	123176		3	3	147	2.0%	No
ETFBKMT	25955		3	3	147	2.0%	No
ETNK2	20983		3	3	147	2.0%	No
EXOSC5	11089		3	3	147	2.0%	No
EXOSC7	60826		3	3	147	2.0%	No
F11R	27913		3	3	147	2.0%	No
FAAP24	6021		3	2	147	1.4%	No
FABP4	5589		3	3	147	2.0%	No
FAIM	24827		3	3	147	2.0%	No
FAM110C	8057		3	3	147	2.0%	No
FAM131A	12496		3	3	147	2.0%	No
FAM162B	14017		3	2	147	1.4%	No
FAM169BP	79316		3	3	147	2.0%	No
FAM181B	3925		3	3	147	2.0%	No
FAM182B	112365		3	3	147	2.0%	No
FAM240A	14019		3	3	147	2.0%	No
FAM43B	2448		3	3	147	2.0%	No
FAM50A	6552		3	3	147	2.0%	No
FAM76A	37156		3	3	147	2.0%	No
FAM76B	21457		3	3	147	2.0%	No
FAM9B	271451		3	3	147	2.0%	No
FATE1	9003		3	3	147	2.0%	No
FAU	1596		3	3	147	2.0%	No
FBXO33	34783		3	3	147	2.0%	No
FBXO6	10166		3	3	147	2.0%	No
FBXO8	47019		3	3	147	2.0%	No
FCF1	25477		3	3	147	2.0%	No
FCN2	9795		3	3	147	2.0%	No
FIGLA	13334		3	3	147	2.0%	No
FKBP14	16116		3	3	147	2.0%	No
FKBP3	19721		3	3	147	2.0%	No
FKBP4	11134		3	3	147	2.0%	No
FLOT1	15367		3	3	147	2.0%	No
FMC1-LUC7L2	81240		3	3	147	2.0%	No
FOSL1	8525		3	3	147	2.0%	No
FOXD4L3	2218		3	2	147	1.4%	No
FOXI2	3999		3	3	147	2.0%	No
FOXQ1	2661		3	3	147	2.0%	No
FSCN1	13847		3	3	147	2.0%	No
FSTL3	7001		3	3	147	2.0%	Yes
FUZ	10511		3	3	147	2.0%	No
G0S2	979		3	3	147	2.0%	No
GABARAP	2442		3	3	147	2.0%	No
GADD45GIP1	4105		3	3	147	2.0%	No
GALR3	3288		3	3	147	2.0%	No
GAR1	10076		3	3	147	2.0%	No
GARIN1A	16185		3	3	147	2.0%	No
GATA5	12560		3	3	147	2.0%	No
GBX2	3151		3	3	147	2.0%	No
GCH1	61273		3	3	147	2.0%	No
GCOM1	122838		3	3	147	2.0%	No
GDNF	27365		3	3	147	2.0%	No
GEMIN8	31830		3	3	147	2.0%	No
GET4	19951		3	3	147	2.0%	No
GGACT	61495		3	3	147	2.0%	No
GGCT	8231		3	3	147	2.0%	No
GIMAP1-GIMAP5	26979		3	3	147	2.0%	No
GJA9	7519		3	3	147	2.0%	No
GJB2	5518		3	3	147	2.0%	No
GK5	68066		3	3	147	2.0%	No
GKAP1	90094		3	3	147	2.0%	No
GLOD4	25245		3	3	147	2.0%	No
GLOD5	11902		3	3	147	2.0%	No
GLT8D1	12216		3	3	147	2.0%	No
GMNN	11212		3	3	147	2.0%	No
GMPR2	7036		3	3	147	2.0%	No
GNB4	55560		3	3	147	2.0%	No
GNG10	8913		3	3	147	2.0%	No
GNG11	6876		3	3	147	2.0%	No
GNG2	153148		3	3	147	2.0%	No
GNPDA2	44389		3	3	147	2.0%	No
GNRH1	5397		3	3	147	2.0%	No
GOLGA6D	12696		3	3	147	2.0%	No
GOLGA7B	22286		3	3	147	2.0%	No
GOLGA8J	13736		3	3	147	2.0%	No
GOLGA8O	13721		3	3	147	2.0%	No
GOLPH3L	50992		3	2	147	1.4%	No
GP1BB	1238		3	2	147	1.4%	No
GPANK1	5056		3	3	147	2.0%	No
GPBAR1	4366		3	3	147	2.0%	No
GPHA2	1423		3	2	147	1.4%	No
GPHB5	6101		3	3	147	2.0%	No
GPR151	3047		3	3	147	2.0%	No
GPR180	32805		3	3	147	2.0%	No
GPR20	10817		3	3	147	2.0%	No
GPR33	5165		3	3	147	2.0%	No
GPR62	2119		3	3	147	2.0%	No
GPR68	21495		3	3	147	2.0%	No
GPR89B	65200		3	3	147	2.0%	No
GPX7	6681		3	3	147	2.0%	No
GPX8	7131		3	3	147	2.0%	No
GRB2	87634		3	3	147	2.0%	No
GRHPR	14596		3	3	147	2.0%	No
GRTP1	39996		3	3	147	2.0%	No
GSG1L2	21472		3	3	147	2.0%	No
GSKIP	23837		3	3	147	2.0%	No
GSTK1	26781		3	3	147	2.0%	No
GSTM3	7107		3	3	147	2.0%	No
GTF2B	39312		3	3	147	2.0%	No
GTF2E2	82529		3	3	147	2.0%	No
GTF2H3	28866		3	3	147	2.0%	No
GTF2IRD2B	57423		3	3	147	2.0%	No
GTPBP8	24083		3	3	147	2.0%	No
GUCA1B	11673		3	1	147	0.7%	No
GUCD1	15513		3	3	147	2.0%	No
GULP1	304839		3	3	147	2.0%	No
GYPE	34700		3	3	147	2.0%	No
H1-6	724		3	3	147	2.0%	No
H2AC4	527		3	3	147	2.0%	No
H2BC1	569		3	3	147	2.0%	No
H2BC9	462		3	3	147	2.0%	No
H2BW1	2562		3	3	147	2.0%	No
H3C13	469		3	3	147	2.0%	Yes
H4C11	389		3	3	147	2.0%	No
HACD1	29115		3	3	147	2.0%	No
HACD2	94262		3	3	147	2.0%	No
HAT1	63725		3	3	147	2.0%	No
HBZ	11776		3	3	147	2.0%	No
HCFC1R1	1662		3	3	147	2.0%	No
HDHD3	4057		3	3	147	2.0%	No
HES1	2591		3	3	147	2.0%	No
HIGD1C	18070		3	3	147	2.0%	No
HLA-DOA	5417		3	2	147	1.4%	No
HLA-DOB	7704		3	3	147	2.0%	No
HLA-DQB1	8917		3	3	147	2.0%	No
HMCES	27749		3	3	147	2.0%	No
HMG20B	6348		3	3	147	2.0%	No
HMGB1	162169		3	3	147	2.0%	No
HMGB3	10267		3	3	147	2.0%	No
HNRNPA1	6896		3	3	147	2.0%	No
HNRNPD	23021		3	3	147	2.0%	No
HNRNPF	23907		3	3	147	2.0%	No
HNRNPH2	6024		3	3	147	2.0%	No
HNRNPK	14821		3	3	147	2.0%	No
HOGA1	28480		3	3	147	2.0%	No
HOXA1	3008		3	3	147	2.0%	No
HOXA10	9657		3	3	147	2.0%	No
HOXA13	6589		3	3	147	2.0%	Yes
HOXA4	2274		3	3	147	2.0%	No
HOXA5	2630		3	2	147	1.4%	No
HOXA6	5208		3	3	147	2.0%	No
HOXB4	2844		3	3	147	2.0%	No
HOXC13	7714		3	3	147	2.0%	Yes
HOXD1	2241		3	3	147	2.0%	No
HPCAL4	12838		3	3	147	2.0%	No
HS2ST1	195348		3	3	147	2.0%	No
HS3ST3B1	48324		3	3	147	2.0%	No
HSD17B13	19157		3	3	147	2.0%	No
HSPA13	12370		3	3	147	2.0%	No
HSPB6	3514		3	3	147	2.0%	No
HTN1	8411		3	3	147	2.0%	No
HUS1	17801		3	3	147	2.0%	No
ICOSLG	26065		3	3	147	2.0%	Yes
IDH3B	5827		3	3	147	2.0%	No
IDI1	9968		3	3	147	2.0%	No
IDNK	21089		3	3	147	2.0%	No
IER2	6571		3	3	147	2.0%	No
IER3	1352		3	3	147	2.0%	No
IER5L	2710		3	3	147	2.0%	No
IFITM1	5233		3	3	147	2.0%	No
IFITM3	9801		3	3	147	2.0%	No
IFNB1	839		3	3	147	2.0%	No
IFNG	4973		3	3	147	2.0%	No
IGFBP5	23445		3	3	147	2.0%	No
IGSF6	13062		3	3	147	2.0%	No
IL11RA	10321		3	3	147	2.0%	No
IL12B	16084		3	3	147	2.0%	No
IL17RB	20263		3	3	147	2.0%	No
IL2	5256		3	3	147	2.0%	Yes
IL20RB	64856		3	2	147	1.4%	No
IL3	2550		3	3	147	2.0%	Yes
IL36A	2586		3	3	147	2.0%	No
IL9	3596		3	3	147	2.0%	No
IMP3	9622		3	3	147	2.0%	No
ING5	42397		3	3	147	2.0%	No
INO80B	2858		3	3	147	2.0%	No
INS-IGF2	28672		3	3	147	2.0%	No
INSL3	5063		3	3	147	2.0%	No
IQCF2	1810		3	2	147	1.4%	No
IQCF6	681		3	3	147	2.0%	No
IRGM	54216		3	3	147	2.0%	No
ITFG1	309763		3	3	147	2.0%	No
IZUMO4	3165		3	3	147	2.0%	No
JAGN1	3776		3	3	147	2.0%	No
JCHAIN	26277		3	3	147	2.0%	No
JMJD4	5000		3	3	147	2.0%	No
JMJD8	2863		3	3	147	2.0%	No
KATNAL2	185987		3	3	147	2.0%	No
KAZALD1	7009		3	3	147	2.0%	No
KBTBD4	6780		3	3	147	2.0%	Yes
KCMF1	88829		3	3	147	2.0%	No
KCND1	10885		3	3	147	2.0%	No
KCNK15	6449		3	3	147	2.0%	No
KCNRG	5669		3	3	147	2.0%	No
KCTD2	33315		3	3	147	2.0%	No
KDELR1	11263		3	3	147	2.0%	No
KDELR2	38241		3	3	147	2.0%	No
KHDRBS1	47164		3	3	147	2.0%	No
KIAA1328	403191		3	3	147	2.0%	No
KISS1	6151		3	3	147	2.0%	No
KLF1	2780		3	3	147	2.0%	No
KLHL9	15381		3	3	147	2.0%	No
KLK11	5824		3	3	147	2.0%	No
KLLN	4376		3	3	147	2.0%	No
KLRC4	6699		3	3	147	2.0%	No
KLRF2	14345		3	3	147	2.0%	No
KMT5A	25222		3	3	147	2.0%	Yes
KRT10-AS1	17203		3	3	147	2.0%	No
KRTAP1-3	991		3	3	147	2.0%	No
KRTAP10-3	1006		3	3	147	2.0%	No
KRTAP19-2	394		3	3	147	2.0%	No
KRTAP19-6	330		3	3	147	2.0%	No
KRTAP20-1	275		3	3	147	2.0%	No
KRTAP21-1	414		3	3	147	2.0%	No
KRTAP23-1	208		3	3	147	2.0%	No
KRTAP4-4	1100		3	3	147	2.0%	No
KRTAP5-9	1189		3	3	147	2.0%	No
KRTAP6-1	500		3	3	147	2.0%	No
KRTAP9-8	1006		3	3	147	2.0%	No
KRTDAP	8235		3	3	147	2.0%	No
LAMTOR1	17403		3	3	147	2.0%	No
LARGE2	11231		3	3	147	2.0%	No
LAT2	34803		3	2	147	1.4%	No
LBHD1	9451		3	3	147	2.0%	No
LCE1B	1138		3	3	147	2.0%	No
LCE3E	1127		3	3	147	2.0%	No
LCE7A	1257		3	3	147	2.0%	No
LCMT1	66501		3	3	147	2.0%	No
LCN10	5190		3	3	147	2.0%	No
LCN12	5947		3	3	147	2.0%	No
LDAF1	23026		3	3	147	2.0%	No
LENEP	730		3	3	147	2.0%	No
LGALS8	34982		3	2	147	1.4%	No
LHFPL2	284807		3	3	147	2.0%	No
LIN37	6159		3	3	147	2.0%	No
LIN7B	4137		3	3	147	2.0%	No
LINC01548	5867		3	2	147	1.4%	No
LINC02870	5098		3	3	147	2.0%	No
LINC02875	1530		3	2	147	1.4%	No
LINC02914	6149		3	3	147	2.0%	No
LIPA	202538		3	3	147	2.0%	No
LKAAEAR1	1592		3	3	147	2.0%	No
LMNA	57510		3	3	147	2.0%	Yes
LMO4	20496		3	3	147	2.0%	No
LRRC14	7214		3	2	147	1.4%	No
LRRC19	12574		3	2	147	1.4%	No
LRRC26	1294		3	3	147	2.0%	No
LRRC37A	45345		3	3	147	2.0%	No
LRRC37A2	45403		3	2	147	1.4%	No
LRRC38	39031		3	3	147	2.0%	No
LRRC57	10983		3	3	147	2.0%	No
LRRC75A	50661		3	3	147	2.0%	No
LSM10	6708		3	3	147	2.0%	No
LSM3	22322		3	3	147	2.0%	No
LSM4	16882		3	3	147	2.0%	No
LSM5	9946		3	3	147	2.0%	No
LTB4R2	6320		3	3	147	2.0%	No
LY6E	11111		3	2	147	1.4%	No
LYPD1	28294		3	3	147	2.0%	No
LYPD5	41333		3	2	147	1.4%	No
LYPLA2	4435		3	3	147	2.0%	No
LYPLAL1	46848		3	3	147	2.0%	No
LYRM7	34511		3	3	147	2.0%	No
LYRM9	16439		3	3	147	2.0%	No
LYSET	3513		3	1	147	0.7%	No
LYSMD2	28575		3	3	147	2.0%	No
LYZL4	13528		3	2	147	1.4%	No
LYZL6	9196		3	3	147	2.0%	No
LZTS1	57799		3	3	147	2.0%	Yes
M6PR	11499		3	3	147	2.0%	No
MACIR	20273		3	3	147	2.0%	No
MACROD1	167930		3	3	147	2.0%	No
MACROH2A1	66415		3	2	147	1.4%	No
MAD2L1	11570		3	3	147	2.0%	No
MAD2L1BP	11462		3	3	147	2.0%	No
MAF1	4507		3	3	147	2.0%	No
MAFB	3389		3	3	147	2.0%	Yes
MAGEA12	3923		3	3	147	2.0%	No
MANEAL	10711		3	3	147	2.0%	No
MANSC4	17810		3	3	147	2.0%	No
MAP6D1	9711		3	3	147	2.0%	No
MAPK3	9402		3	3	176	1.7%	Yes
MARCHF2	27558		3	3	147	2.0%	No
MB	31188		3	3	147	2.0%	No
MBD2	73064		3	3	147	2.0%	No
MBD3L2	2415		3	3	147	2.0%	No
MBNL3	120659		3	3	147	2.0%	No
MC1R	8859		3	3	147	2.0%	No
MCEE	20596		3	2	147	1.4%	No
MCIDAS	7752		3	3	147	2.0%	No
MCUB	128511		3	3	147	2.0%	No
MED7	21596		3	3	147	2.0%	No
MESP1	1375		3	3	147	2.0%	No
METRN	4538		3	3	147	2.0%	No
METRNL	15514		3	3	147	2.0%	No
METTL24	114563		3	3	147	2.0%	No
METTL2A	29511		3	3	147	2.0%	No
METTL9	60254		3	3	147	2.0%	No
MFAP1	20242		3	3	147	2.0%	No
MFAP4	3756		3	2	147	1.4%	No
MGAT2	2683		3	3	147	2.0%	No
MIEF1	18701		3	3	147	2.0%	No
MIR5694	76		3	3	147	2.0%	No
MIR650	96		3	3	147	2.0%	No
MIR9-1HG	52745		3	3	147	2.0%	No
MIS12	4532		3	3	147	2.0%	No
MIXL1	3443		3	3	147	2.0%	No
MKRN2OS	46126		3	3	147	2.0%	No
MLF2	20947		3	3	147	2.0%	No
MLST8	5206		3	3	147	2.0%	No
MLX	6168		3	3	147	2.0%	No
MMACHC	13083		3	3	147	2.0%	No
MNS1	43625		3	3	147	2.0%	No
MNX1	16613		3	3	176	1.7%	Yes
MOB1A	26405		3	3	147	2.0%	No
MOB4	38129		3	3	147	2.0%	No
MORN3	23908		3	3	147	2.0%	No
MOSPD2	48907		3	3	147	2.0%	No
MPC1L	709		3	3	147	2.0%	No
MPST	10188		3	3	147	2.0%	No
MPZ	5234		3	3	147	2.0%	No
MRAP	22972		3	3	147	2.0%	No
MREG	91513		3	3	147	2.0%	No
MRM1	7389		3	3	147	2.0%	No
MRPL10	8270		3	3	147	2.0%	No
MRPL18	9216		3	3	147	2.0%	No
MRPL28	5374		3	3	147	2.0%	No
MRPL30	18451		3	2	147	1.4%	No
MRPL42	48725		3	3	147	2.0%	No
MRPL49	5189		3	3	147	2.0%	No
MRPL54	5904		3	3	147	2.0%	No
MRPS11	13356		3	3	147	2.0%	No
MRPS24	3337		3	3	147	2.0%	No
MRPS25	55729		3	3	147	2.0%	No
MSANTD3-TMEFF1	135366		3	3	147	2.0%	No
MSMB	14874		3	3	147	2.0%	No
MSRB2	26435		3	3	147	2.0%	No
MSX2	6315		3	3	147	2.0%	No
MTERF3	23450		3	2	147	1.4%	No
MTFR1	126578		3	3	147	2.0%	No
MTRES1	23403		3	3	147	2.0%	No
MXD4	14684		3	3	147	2.0%	No
MYDGF	28992		3	3	147	2.0%	No
MYOCOS	38179		3	3	147	2.0%	No
NAA38	28554		3	3	147	2.0%	No
NAA50	30329		3	2	147	1.4%	No
NADK2	49691		3	3	147	2.0%	No
NAF1	56841		3	3	147	2.0%	No
NAGPA	9386		3	3	147	2.0%	No
NANS	26414		3	3	147	2.0%	No
NAP1L2	2941		3	2	147	1.4%	No
NDFIP2	74923		3	3	147	2.0%	No
NDUFA12	108452		3	3	147	2.0%	No
NDUFA6	5359		3	3	147	2.0%	No
NDUFA7	12615		3	3	147	2.0%	No
NDUFA8	15722		3	3	147	2.0%	No
NDUFA9	45223		3	3	147	2.0%	No
NDUFAF3	3037		3	3	147	2.0%	No
NDUFAF5	36574		3	3	147	2.0%	No
NEFL	5767		3	3	147	2.0%	No
NENF	13527		3	3	147	2.0%	No
NET1	46500		3	3	147	2.0%	No
NHLRC3	11804		3	3	147	2.0%	No
NKAP	23080		3	2	147	1.4%	No
NKG7	1099		3	3	147	2.0%	No
NKX2-1	4758		3	3	176	1.7%	Yes
NKX2-4	2162		3	3	147	2.0%	No
NKX2-6	5017		3	3	147	2.0%	No
NKX6-2	2969		3	3	147	2.0%	No
NMNAT2	170144		3	3	147	2.0%	No
NMRK1	27734		3	3	147	2.0%	No
NOA1	14748		3	3	147	2.0%	No
NOB1	13072		3	3	147	2.0%	No
NOCT	30168		3	3	147	2.0%	No
NOG	1913		3	3	147	2.0%	No
NOL12	11804		3	3	147	2.0%	No
NOMO3	68301		3	3	147	2.0%	No
NOTCH2NLA	83145		3	3	147	2.0%	No
NPB	2161		3	3	147	2.0%	No
NPBWR1	4553		3	3	147	2.0%	No
NPFF	808		3	3	147	2.0%	No
NPM2	12773		3	3	147	2.0%	No
NPPA	2637		3	3	147	2.0%	No
NPRL2	3497		3	3	147	2.0%	No
NPRL3	55512		3	3	147	2.0%	No
NPTN	74132		3	3	147	2.0%	No
NR2C2	106057		3	3	147	2.0%	No
NR2E3	25622		3	3	147	2.0%	No
NRBP2	7391		3	3	147	2.0%	No
NRM	3374		3	3	147	2.0%	No
NT5C3B	11204		3	3	147	2.0%	No
NT5DC2	10685		3	3	147	2.0%	No
NTAQ1	53306		3	3	147	2.0%	No
NTF3	89429		3	3	147	2.0%	No
NTS	8831		3	3	147	2.0%	No
NUDC	46648		3	3	147	2.0%	No
NUDT1	9622		3	3	147	2.0%	No
NUDT13	21454		3	3	147	2.0%	No
NUF2	89191		3	3	147	2.0%	Yes
NUP62	23101		3	3	147	2.0%	No
NUS1	35259		3	3	147	2.0%	No
NUSAP1	60261		3	2	147	1.4%	No
NUTM2B	11455		3	3	147	2.0%	Yes
NUTM2E	24140		3	3	147	2.0%	No
NXNL1	5502		3	3	147	2.0%	No
NXT1	4005		3	2	147	1.4%	No
OAS1	27364		3	3	147	2.0%	No
OAZ1	3984		3	2	147	1.4%	No
OAZ3	8436		3	3	147	2.0%	No
OCEL1	3022		3	3	147	2.0%	No
OGG1	38276		3	3	147	2.0%	No
OLIG2	3870		3	3	147	2.0%	Yes
OLIG3	2196		3	3	147	2.0%	No
OMG	25527		3	3	147	2.0%	No
OOEP	26579		3	3	147	2.0%	No
OR11H12	981		3	3	147	2.0%	No
OR2AE1	972		3	2	147	1.4%	No
OR2T8	2901		3	3	147	2.0%	No
ORC6	9001		3	3	147	2.0%	No
ORM1	3455		3	3	147	2.0%	No
OSCAR	8025		3	3	147	2.0%	No
OSER1	14934		3	3	147	2.0%	No
OSR2	12221		3	3	147	2.0%	No
OSTF1	60950		3	3	147	2.0%	No
OTUB1	15959		3	3	147	2.0%	No
OTUB2	22591		3	3	147	2.0%	No
OXSM	13918		3	3	147	2.0%	No
P2RY4	2039		3	3	147	2.0%	No
PABIR2	27667		3	3	147	2.0%	No
PABIR3	58447		3	3	147	2.0%	No
PACSIN2	179774		3	3	147	2.0%	No
PAFAH1B2	32611		3	3	176	1.7%	Yes
PAG1	144307		3	3	147	2.0%	Yes
PANK3	31106		3	3	147	2.0%	No
PARD6A	1869		3	3	147	2.0%	No
PARG	155067		3	3	147	2.0%	No
PARP11	82402		3	3	147	2.0%	No
PARVA	157875		3	3	147	2.0%	No
PATE2	2716		3	3	147	2.0%	No
PCID2	31180		3	3	147	2.0%	No
PCLAF	23384		3	3	147	2.0%	No
PCSK1N	4545		3	2	147	1.4%	No
PDCD6	43354		3	3	147	2.0%	No
PDE6D	53919		3	3	147	2.0%	No
PDE6G	12654		3	2	147	1.4%	No
PDGFRL	67639		3	3	147	2.0%	No
PDHA1	17826		3	3	147	2.0%	No
PDK3	85223		3	3	147	2.0%	No
PDLIM1	53467		3	3	147	2.0%	No
PDPK1	65213		3	3	176	1.7%	Yes
PDZK1	37301		3	3	147	2.0%	No
PEF1	15031		3	3	147	2.0%	No
